Verb,Description,GUI,WARNING
FileNew, Create new document from the default template (Ctrl+N),TRUE,"WARNING: ignoring verb FileNew - GUI required for this verb.

** (org.inkscape.Inkscape:12780): CRITICAL **: 19:35:21.744: static void Inkscape::FileVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
FileOpen, Open an existing document (Ctrl+O),TRUE,"WARNING: ignoring verb FileOpen - GUI required for this verb.

** (org.inkscape.Inkscape:4716): CRITICAL **: 19:35:24.132: static void Inkscape::FileVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
FileRevert, Revert to the last saved version of document (changes will be lost),TRUE,"WARNING: ignoring verb FileRevert - GUI required for this verb.

** (org.inkscape.Inkscape:15068): CRITICAL **: 19:35:26.483: static void Inkscape::FileVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
FileSave, Save document (Ctrl+S),TRUE,"WARNING: ignoring verb FileSave - GUI required for this verb.

** (org.inkscape.Inkscape:20000): CRITICAL **: 19:35:28.847: static void Inkscape::FileVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
FileSaveAs, Save document under a new name (Shift+Ctrl+S),TRUE,"WARNING: ignoring verb FileSaveAs - GUI required for this verb.

** (org.inkscape.Inkscape:18252): CRITICAL **: 19:35:31.319: static void Inkscape::FileVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
FileSaveACopy, Save a copy of the document under a new name (Shift+Ctrl+Alt+S),TRUE,"WARNING: ignoring verb FileSaveACopy - GUI required for this verb.

** (org.inkscape.Inkscape:13772): CRITICAL **: 19:35:33.635: static void Inkscape::FileVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
FileSaveTemplate, Save a copy of the document as template,TRUE,"WARNING: ignoring verb FileSaveTemplate - GUI required for this verb.

** (org.inkscape.Inkscape:17664): CRITICAL **: 19:35:36.006: static void Inkscape::FileVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
FilePrint, Print document (Ctrl+P),TRUE,"WARNING: ignoring verb FilePrint - GUI required for this verb.

** (org.inkscape.Inkscape:11460): CRITICAL **: 19:35:38.370: static void Inkscape::FileVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
FileVacuum, Remove unused definitions (such as gradients or clipping paths) from the &lt;defs&gt; of the document,FALSE,
FileImport, Import a bitmap or SVG image into this document (Ctrl+I),TRUE,"WARNING: ignoring verb FileImport - GUI required for this verb.

** (org.inkscape.Inkscape:13840): CRITICAL **: 19:35:43.195: static void Inkscape::FileVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
NextWindow, Switch to the next document window (Ctrl+Tab),TRUE,"WARNING: ignoring verb NextWindow - GUI required for this verb.

** (org.inkscape.Inkscape:3176): CRITICAL **: 19:35:45.624: static void Inkscape::FileVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
PrevWindow, Switch to the previous document window (Ctrl+Left Tab),TRUE,"WARNING: ignoring verb PrevWindow - GUI required for this verb.

** (org.inkscape.Inkscape:13868): CRITICAL **: 19:35:47.889: static void Inkscape::FileVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
FileClose, Close this document window (Ctrl+W),TRUE,"WARNING: ignoring verb FileClose - GUI required for this verb.

** (org.inkscape.Inkscape:5456): CRITICAL **: 19:35:50.334: static void Inkscape::FileVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
FileQuit, Quit Inkscape (Ctrl+Q),FALSE,
FileTemplates, Create new project from template (Ctrl+Alt+N),TRUE,"WARNING: ignoring verb FileTemplates - GUI required for this verb.

** (org.inkscape.Inkscape:18556): CRITICAL **: 19:35:54.964: static void Inkscape::FileVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditUndo, Undo last action (Ctrl+Z),TRUE,"WARNING: ignoring verb EditUndo - GUI required for this verb.

** (org.inkscape.Inkscape:8100): CRITICAL **: 19:35:57.470: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditRedo, Do again the last undone action (Shift+Ctrl+Z),TRUE,"WARNING: ignoring verb EditRedo - GUI required for this verb.

** (org.inkscape.Inkscape:16236): CRITICAL **: 19:35:59.877: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditCut, Cut selection to clipboard (Ctrl+X),TRUE,"WARNING: ignoring verb EditCut - GUI required for this verb.

** (org.inkscape.Inkscape:8820): CRITICAL **: 19:36:02.310: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditCopy, Copy selection to clipboard (Ctrl+C),TRUE,"WARNING: ignoring verb EditCopy - GUI required for this verb.

** (org.inkscape.Inkscape:18160): CRITICAL **: 19:36:04.570: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditPaste," Paste objects from clipboard to mouse point, or paste text (Ctrl+V)",TRUE,"WARNING: ignoring verb EditPaste - GUI required for this verb.

** (org.inkscape.Inkscape:20424): CRITICAL **: 19:36:06.909: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditPasteStyle, Apply the style of the copied object to selection (Shift+Ctrl+V),TRUE,"WARNING: ignoring verb EditPasteStyle - GUI required for this verb.

** (org.inkscape.Inkscape:5404): CRITICAL **: 19:36:09.369: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditPasteSize, Scale selection to match the size of the copied object,TRUE,"WARNING: ignoring verb EditPasteSize - GUI required for this verb.

** (org.inkscape.Inkscape:9212): CRITICAL **: 19:36:11.669: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditPasteWidth, Scale selection horizontally to match the width of the copied object,TRUE,"WARNING: ignoring verb EditPasteWidth - GUI required for this verb.

** (org.inkscape.Inkscape:17960): CRITICAL **: 19:36:14.219: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditPasteHeight, Scale selection vertically to match the height of the copied object,TRUE,"WARNING: ignoring verb EditPasteHeight - GUI required for this verb.

** (org.inkscape.Inkscape:17020): CRITICAL **: 19:36:16.651: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditPasteSizeSeparately, Scale each selected object to match the size of the copied object,TRUE,"WARNING: ignoring verb EditPasteSizeSeparately - GUI required for this verb.

** (org.inkscape.Inkscape:728): CRITICAL **: 19:36:19.014: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditPasteWidthSeparately, Scale each selected object horizontally to match the width of the copied object,TRUE,"WARNING: ignoring verb EditPasteWidthSeparately - GUI required for this verb.

** (org.inkscape.Inkscape:3096): CRITICAL **: 19:36:21.489: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditPasteHeightSeparately, Scale each selected object vertically to match the height of the copied object,TRUE,"WARNING: ignoring verb EditPasteHeightSeparately - GUI required for this verb.

** (org.inkscape.Inkscape:604): CRITICAL **: 19:36:23.859: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditPasteInPlace, Paste objects from clipboard to the original location (Ctrl+Alt+V),TRUE,"WARNING: ignoring verb EditPasteInPlace - GUI required for this verb.

** (org.inkscape.Inkscape:3360): CRITICAL **: 19:36:26.108: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
PasteLivePathEffect, Apply the path effect of the copied object to selection (&),TRUE,"WARNING: ignoring verb PasteLivePathEffect - GUI required for this verb.

** (org.inkscape.Inkscape:3428): CRITICAL **: 19:36:28.509: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
RemoveLivePathEffect, Remove any path effects from selected objects,TRUE,"WARNING: ignoring verb RemoveLivePathEffect - GUI required for this verb.

** (org.inkscape.Inkscape:19408): CRITICAL **: 19:36:30.835: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
RemoveFilter, Remove any filters from selected objects,TRUE,"WARNING: ignoring verb RemoveFilter - GUI required for this verb.

** (org.inkscape.Inkscape:7108): CRITICAL **: 19:36:33.186: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditDelete, Delete selection (Delete),TRUE,"WARNING: ignoring verb EditDelete - GUI required for this verb.

** (org.inkscape.Inkscape:1584): CRITICAL **: 19:36:35.609: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditDuplicate, Duplicate Selected Objects (Ctrl+D),TRUE,"WARNING: ignoring verb EditDuplicate - GUI required for this verb.

** (org.inkscape.Inkscape:20192): CRITICAL **: 19:36:37.989: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditClone, Create a clone (a copy linked to the original) of selected object (Alt+D),TRUE,"WARNING: ignoring verb EditClone - GUI required for this verb.

** (org.inkscape.Inkscape:11956): CRITICAL **: 19:36:40.419: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditUnlinkClone," Cut the selected clones' links to the originals, turning them into standalone objects (Shift+Alt+D)",TRUE,"WARNING: ignoring verb EditUnlinkClone - GUI required for this verb.

** (org.inkscape.Inkscape:11440): CRITICAL **: 19:36:42.792: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditUnlinkCloneRecursive," Unlink all clones in the selection, even if they are in groups.",TRUE,"WARNING: ignoring verb EditUnlinkCloneRecursive - GUI required for this verb.

** (org.inkscape.Inkscape:14608): CRITICAL **: 19:36:45.129: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditRelinkClone, Relink the selected clones to the object currently on the clipboard,TRUE,"WARNING: ignoring verb EditRelinkClone - GUI required for this verb.

** (org.inkscape.Inkscape:15212): CRITICAL **: 19:36:47.444: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditCloneSelectOriginal, Select the object to which the selected clone is linked (Shift+D),TRUE,"WARNING: ignoring verb EditCloneSelectOriginal - GUI required for this verb.

** (org.inkscape.Inkscape:17360): CRITICAL **: 19:36:49.859: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditCloneOriginalPathLPE," Creates a new path, applies the Clone original LPE, and refers it to the selected path",TRUE,"WARNING: ignoring verb EditCloneOriginalPathLPE - GUI required for this verb.

** (org.inkscape.Inkscape:11708): CRITICAL **: 19:36:52.219: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
ObjectsToMarker, Convert selection to a line marker,TRUE,"WARNING: ignoring verb ObjectsToMarker - GUI required for this verb.

** (org.inkscape.Inkscape:9896): CRITICAL **: 19:36:54.569: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
ObjectsToGuides, Convert selected objects to a collection of guidelines aligned with their edges (Shift+G),TRUE,"WARNING: ignoring verb ObjectsToGuides - GUI required for this verb.

** (org.inkscape.Inkscape:17308): CRITICAL **: 19:36:56.939: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
ObjectsToPattern, Convert selection to a rectangle with tiled pattern fill (Alt+I),TRUE,"WARNING: ignoring verb ObjectsToPattern - GUI required for this verb.

** (org.inkscape.Inkscape:15812): CRITICAL **: 19:36:59.444: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
ObjectsFromPattern, Extract objects from a tiled pattern fill (Shift+Alt+I),TRUE,"WARNING: ignoring verb ObjectsFromPattern - GUI required for this verb.

** (org.inkscape.Inkscape:14784): CRITICAL **: 19:37:01.849: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
ObjectsToSymbol, Convert group to a symbol,TRUE,"WARNING: ignoring verb ObjectsToSymbol - GUI required for this verb.

** (org.inkscape.Inkscape:8636): CRITICAL **: 19:37:04.249: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
ObjectsFromSymbol, Extract group from a symbol,TRUE,"WARNING: ignoring verb ObjectsFromSymbol - GUI required for this verb.

** (org.inkscape.Inkscape:16916): CRITICAL **: 19:37:06.758: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditClearAll, Delete all objects from document,FALSE,
EditSelectAll, Select all objects or all nodes (Ctrl+A),TRUE,"WARNING: ignoring verb EditSelectAll - GUI required for this verb.

** (org.inkscape.Inkscape:12228): CRITICAL **: 19:37:11.410: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
EditSelectAllInAllLayers, Select all objects in all visible and unlocked layers (Ctrl+Alt+A),TRUE,"WARNING: ignoring verb EditSelectAllInAllLayers - GUI required for this verb.

** (org.inkscape.Inkscape:14204): CRITICAL **: 19:37:13.759: static void Inkscape::EditVerb::perform(SPAction*, void*): assertion 'ensure_desktop_valid(action)' failed"
