Verb,Description,GUI,WARNING
FileNew, Create new document from the default template (Ctrl+N),TRUE,WARNING: ignoring verb FileNew - GUI required for this verb.
FileOpen, Open an existing document (Ctrl+O),TRUE,WARNING: ignoring verb FileOpen - GUI required for this verb.
FileRevert, Revert to the last saved version of document (changes will be lost),TRUE,WARNING: ignoring verb FileRevert - GUI required for this verb.
FileSave, Save document (Ctrl+S),TRUE,WARNING: ignoring verb FileSave - GUI required for this verb.
FileSaveAs, Save document under a new name (Shift+Ctrl+S),TRUE,WARNING: ignoring verb FileSaveAs - GUI required for this verb.
FileSaveACopy, Save a copy of the document under a new name (Shift+Ctrl+Alt+S),TRUE,WARNING: ignoring verb FileSaveACopy - GUI required for this verb.
FileSaveTemplate, Save a copy of the document as template,TRUE,WARNING: ignoring verb FileSaveTemplate - GUI required for this verb.
FilePrint, Print document (Ctrl+P),TRUE,WARNING: ignoring verb FilePrint - GUI required for this verb.
FileVacuum, Remove unused definitions (such as gradients or clipping paths) from the &lt;defs&gt; of the document,FALSE,NA
FileImport, Import a bitmap or SVG image into this document (Ctrl+I),TRUE,WARNING: ignoring verb FileImport - GUI required for this verb.
NextWindow, Switch to the next document window (Ctrl+Tab),TRUE,WARNING: ignoring verb NextWindow - GUI required for this verb.
PrevWindow, Switch to the previous document window (Ctrl+Left Tab),TRUE,WARNING: ignoring verb PrevWindow - GUI required for this verb.
FileClose, Close this document window (Ctrl+W),TRUE,WARNING: ignoring verb FileClose - GUI required for this verb.
FileQuit, Quit Inkscape (Ctrl+Q),FALSE,NA
FileTemplates, Create new project from template (Ctrl+Alt+N),TRUE,WARNING: ignoring verb FileTemplates - GUI required for this verb.
EditUndo, Undo last action (Ctrl+Z),TRUE,WARNING: ignoring verb EditUndo - GUI required for this verb.
EditRedo, Do again the last undone action (Shift+Ctrl+Z),TRUE,WARNING: ignoring verb EditRedo - GUI required for this verb.
EditCut, Cut selection to clipboard (Ctrl+X),TRUE,WARNING: ignoring verb EditCut - GUI required for this verb.
EditCopy, Copy selection to clipboard (Ctrl+C),TRUE,WARNING: ignoring verb EditCopy - GUI required for this verb.
